ⲟ,"great"
ⲟⲣⲫⲁⲛⲟⲥ,"orphan (substantive)"
ⲉⲛⲕⲁⲕⲓⲛ,"to lose heart, be discouraged (object: none)"
ⲗⲁⲙⲡⲉⲩⲉ,"to illuminate, shine (object: none)"
ⲅⲉⲛⲏⲧⲟⲥ,"begotten, generated (substantive; referent: perishable, mortal character)"
ϩⲩⲗⲓⲕⲟⲛ,"material, composed of matter (attributive)"
ⲭⲟⲣⲏⲅⲉⲓ,"to supply s.o."
ⲁⲅⲱⲛⲓⲍⲉ,"to struggle, strive, try (specific sense unclear)"
ⲥⲧⲁⲫⲩⲗⲏ,"palatine uvula"
ⲱⲕⲉⲁⲛⲟⲥ,"ocean"
ⲁⲕⲁⲓⲣⲱⲥ,"in an invalid manner, unjustly"
ⲛⲟⲙⲓⲥⲙⲁ,"nomisma, a coin (often specifically: a solidus / dinar)"
ϩⲩⲡⲁⲣⲏⲥ,"(a kind of official, a title)"
ϩⲉⲗⲡⲓⲍⲉ,"to hope (object: unclear)"
ⲥⲕⲩⲛⲱⲙⲁ,"corpse"
ⲁⲣⲓⲑⲙⲓⲁ,"of nominal value (of currency) (substnative)"
ⲙⲁⲕⲁⲣⲓⲁ,"blessed one (substantive)"
ⲗⲟⲩⲕⲗⲁⲕ,"bad, wicked"
ⲕⲟⲓⲛⲱⲛⲓ,"to consort with, to associate (oneself) with s.th., partake from s.th."
ⲉⲥⲑⲏⲥⲓⲥ,"understanding, insight, knowledge"
ϭⲣⲉⲡⲣⲉⲡ,"quarrel, dispute, clash (?)"
ⲙⲟⲛⲁⲭⲟⲥ,"a single one, a solitary one"
ⲅⲣⲩⲡⲁⲍⲉ,"to be freed"
ⲕⲣⲁⲛⲓⲟⲛ,"upper part of the head, skull"
ⲉⲡⲓⲧⲓⲙⲁ,"to rebuke, censure s.o."
ⲭⲁⲗⲕⲓⲟⲛ,"cauldron"
ⲕⲁⲑⲓⲥⲙⲁ,"anus"
ⲁⲥⲑⲉⲛⲏⲥ,"weak (substantive)"
ⲙⲟⲩϧⲣⲏⲣ,"scarab"
ⲫⲣⲁⲅⲙⲟⲥ,"lane, hedge (fenced road or way common in the countryside)"
ⲁⲣⲓⲥⲧⲟⲛ,"banquet, feast, dinner (substantive; referent: event)"
ⲙⲁⲙⲱⲛⲁⲥ,"money, Mammon (personification of wealth)"
ⲁⲑⲗⲏⲥⲓⲥ,"conflict (inverted attributive, nominal referent)"
ⲇⲟⲕⲓⲙⲟⲥ,"noble, excellent (attributive)"
ⲁⲛⲁⲡⲛⲟⲏ,"respiration, breathing (cool/cold)"
ⲅⲛⲏⲥⲓⲟⲥ,"genuine, serious, sincere (substantive)"
ⲑⲩⲡⲟⲯⲓⲁ,"suspicion, ill-feeling"
ⲙⲉⲣⲓⲕⲟⲛ,"part, characteristic (syntactic usage unclear)"
ⲇⲉⲥⲡⲱⲧⲁ,"o master / lord"
ⲙⲁⲗⲁⲕⲟⲥ,"effeminate, weak (attributive)"
ⲁⲛⲇⲣⲉⲁⲥ,"man, masculine one (attributive)"
ⲃⲁⲥⲓⲗⲓⲁ,"Books of Kings"
ⲁⲡⲟⲩⲕⲁⳇ,"juice of the calamus"
ⲁⲩⲝⲓⲥⲓⲥ,"growth, increase"
ⲙⲁⲧⲣⲱⲛⲁ,"noblewoman, lady"
ⲛⲟⲙⲓⲙⲱⲥ,"legally, lawfully"
ⲥⲧⲁⲩⲣⲟⲩ,"to crucify s.o."
ⲡⲗⲁⲧⲏⲣⲉ,"marketplace"
ⲉⲓⲥϯⲕⲟⲥ,"as much as possible, bearable"
ⲍⲱⲣⲁⲓⲟⲥ,"melanterite, red vitriol"
ⲇⲓⲁⲇⲟⲭⲏ,"succession"
ⲑⲩⲣⲟⲣⲟⲥ,"door-keeper (benevolent superhuman being)"
ⲕⲁⲑⲁⲣⲟⲛ,"pure, clean"
ⲁⲣⲭⲁⲓⲟⲛ,"(pl.) ancient limits (of land property, as alotted formerly/long ago)"
ⲇⲣⲟⲙⲉⲩⲥ,"runner"
ⲕⲁⲣⲁⲉⲓⲉ,"(laboratory) flask"
ⲗⲁⲙⲯⲁⲛⲉ,"charlock (Brassica arvensis / Sinapis arvensis)"
ⲃⲣⲟⲩⲭⲟⲥ,"locust"
ⲥⲭⲟⲗⲁⲍⲉ,"to have leisure, time for s.th. (object: act, deed)"
ⲃⲟⲏⲑⲉⲓⲁ,"help"
ⲥⲁⲣⲕⲓⲛⲏ,"fleshly nature, substance"
ⲕⲁⲙⲓⲛⲟⲥ,"furnace, oven"
ϩⲓⲕⲁⲛⲟⲥ,"able, capable, potent (object: none)"
ⲧⲉⲣⲧⲱⲣⲓ,"play music, sing"
ⲗⲓⲃⲁⲛⲟⲥ,"frankincense"
ⲥⲕⲩⲗⲙⲟⲥ,"the trouble one takes, travail, arduous journey (often hyperbolic rhetoric)"
ⲁⲛⲛⲟϣⲉⲣ,"wild endive, chicory"
ⲧⲣⲉⲡⲉⲣⲓ,"electric ray"
ⲧⲣⲁⲡⲉⲍⲁ,"table"
ⲡⲁⲑⲩⲥⲓⲥ,"morbid affection, disease"
ⲧⲁⲙⲉⲓⲟⲛ,"treasury"
ⲭⲁⲗⲓⲛⲟⲩ,"to bridle s.th."
ⲭⲁⲣⲓⲥⲙⲁ,"(spiritual) gift, favor"
ⲇⲓⲥⲧⲁⲍⲉ,"to doubt, be in doubt (object: none)"
ⲁⲡⲟⲟⲩⲧⲉ,"receipt (for poll tax)"
ⲥⲩⲙⲫⲟⲣⲁ,"mishap, misfortune"
ⲁⲙⲟⲣⲫⲟⲥ,"shapeless (being)"
ⲭⲁⲣⲁⲝⲟⲛ,"cut into furrows, scratch s.th."
ⲡⲟⲛⲏⲣⲟⲛ,"evil one (substantive)"
ⲟⲩⲁϩⲃⲉϥ,"bark, growl"
ⲁ(ⲟ)ⲩⲱⲛ,"open!"
ⲉⲃⲇⲟⲙⲏⲥ,"seventh attributive"
ⲕⲓⲇⲣⲓⲟⲛ,"lemon tree"
ⲫⲛⲓⲕⲝⲟⲛ,"palm-leaf, date-leaf"
ⲅⲩⲙⲛⲁⲍⲉ,"to train, be trained"
ⲁⲛϣⲉⲩⲗⲉ,""
ⲉϥⲣⲁⲥⲟⲩ,"a plant: abrotonum (?), artemisia (?)"
ⲁⲥⲫⲁⲗⲓⲁ,"(document of) guarantee (substantive; re: guarantee to pay or work for s.o., a superior
ⲥⲕⲉⲡⲧⲱⲣ,"scribe, notary"
ⲇⲓⲏⲅⲏⲙⲁ,"narrative, story, tale"
ⲉⲩⲧⲉⲗⲏⲥ,"unworthy, lowly (self-deprecating) (inverted attributive; attributive referent)"
ⲁⲡⲟⲗⲁⲩⲉ,"to benefit (object: none)"
ⲗⲉⲩⲕⲱⲙⲁ,"leucom; white spot in eye (general or specific sense unclear)"
ⲭⲣⲱⲟⲩⲛⲓ,"ziziphus (tree)"
ⲃⲁⲗⲁⲛⲟⲥ,"acorn"
ⲇⲓⲁⲙⲟⲛⲏ,"lifetime, duration of human life"
ⲡⲣⲟⲃⲟⲗⲏ,"protection, bulwark"
ⲁⲩⲑⲁⲇⲏⲥ,"arrogant, stubborn one"
ϩⲁⲗⲩⲥⲓⲥ,"chain"
ⲁⲥⲕⲏⲥⲓⲥ,"(ascetic) exercise"
ⲡⲟⲣⲛⲉⲩⲉ,"to fornicate, commit adultery (object: none)"
ⲥⲃⲛⲥⲉⲧⲉ,"burnt offerings"
ⲇⲓⲕⲛⲉⲩⲉ,"to explain, show s.th."
ⲁⲣⲭⲏⲅⲟⲥ,"originator, founder"
ϩⲁⲣⲡⲁⲍⲉ,"to snatch, take away s.o."
ⲕⲓⲛⲏⲥⲁⲓ,"to take legal action/proceed against s.o."
ⲉⲩⲗⲟⲅⲟⲛ,"a reasonable, logical thing"
ⲁⲛⲁⲕⲟⲡⲏ,"resistance, obstruction"
ⲁⲥⲕⲏⲧⲏⲥ,"ascete, hermit"
ⲭⲗⲟⲙⲗⲉⲙ,"crown"
ⲟⲣⲅⲁⲛⲟⲛ,"musical instrument"
ⲕⲏⲣⲩⲥⲥⲉ,"to preach, proclaim (object: none)"
ⲯⲩⲫⲓⲥⲙⲁ,"vote, voting"
ⲉⲕⲧⲓⲕⲉⲓ,"vengeance, revenge"
ⲙⲁⲥϯⲭⲁⲓ,"mastic; gum/resin of Pistacia Lentiscus L."
ⲉⲩⲇⲟⲕⲓⲁ,"good will"
ⲡⲣⲟⲥⲉⲭⲉ,"to care for (object: unclear)"
ⲟⲣⲇⲓⲛⲟⲛ,"rank, importance"
ⲥⲩⲛⲧⲁⲍⲉ,"to agree to do s.th. (object: purpose clause)"
ⲁⲕⲣⲁⲧⲟⲛ,"unmixed wine (substantive)"
ⲕⲁⲧⲁⲛⲧⲁ,"to go up, reach up (object: none)"
ⲁⲅⲅⲉⲗⲟⲥ,"messenger, envoy (general, or specific sense unclear)"
ⲧⲁⲣⲁⲭⲟⲥ,"disturbance, trouble"
ⲕⲁⲥⲧⲣⲟⲩ,"fortress, stronghold (referring to a village or city) (Lat. castrum)"
ⲕⲟⲗⲟⲃⲟⲥ,"short, small (of persons) (attributive)"
ⲟⲣⲑⲏⲥⲓⲥ,"a setting upright, erection"
ⲁⲡⲟⲗⲗⲱⲛ,"Apollon (the Greek god)"
ⲇⲓⲁⲑⲏⲕⲏ,"covenant, compact, agreement (specific sense unclear)"
ⲁⲡⲓⲥⲧⲟⲛ,"faithless (substantive)"
ⲙⲡⲟⲇⲓⲍⲉ,"to hinder, impede s.ο."
ⲫⲁⲥⲓⲗⲓⲁ,"pod"
ⲉⲩⲗⲟⲅⲓⲁ,"(piece of) blessed bread, oblation"
ⲥⲫⲟⲛⲅⲟⲥ,"sponge"
ⲁ(ⲟ)ⲩⲏⲧ,"collection, company of persons"
ⲛⲏⲥⲧⲉⲩⲉ,"to fast (object: none)"
ⲡⲉⲣⲓⲥⲟⲛ,"abundant, profuse (substantive)"
ⲉⲕⲗⲉⲕⲧⲏ,"elect, saved (in the Manichaean Church) (substantive)"
ⲇⲉⲕⲁⲛⲟⲥ,"decan (celestial superhuman being)"
ⲉⲝⲁⲡⲓⲛⲁ,"suddenly, unexpectedly"
ⲇⲉⲩⲧⲉⲣⲁ,"second (attributive)"
ⲇⲓⲁⲫⲟⲣⲁ,"difference (specific sense unclear)"
ⲉⲩϩⲁⲓⲟⲥ,"Heuite (substantive)"
ⲁⲛⲁⲑⲉⲙⲁ,"anathema, curse"
ϩⲁⲡⲗⲟⲩⲛ,"simple (usage unclear; referent: divine transcendent character)"
ⲇⲓⲁⲡⲉⲣⲁ,"to go over, pass over (object: none)"
ⲉⲅⲕⲁⲕⲉⲓ,"to lose heart, be discouraged; be remiss, careless, inattentive (object: none)"
ⲥⲉⲃⲓⲥⲧⲏ,"sebiste (a weapon?)"
ⲁⲥⲏⲙⲓⲟⲥ,"money"
ⲫⲗⲩⲁⲣⲟⲥ,"silly talk, nonsense"
ⲕⲁⲣⲃⲱⲛⲉ,"coal, charcoal"
ⲥⲓⲡⲡⲓⲟⲛ,"linen"
ⲡⲓⲥⲧⲓⲕⲏ,"genuine, unadulterated, pure"
ⲙⲁⲛⲧⲁⲕⲏ,"collar, chain, tie"
ⲅⲉⲛⲏⲧⲟⲛ,"begotten, generated (substantive; referent: perishable, mortal character)"
ϩⲓⲡⲡⲉⲩⲥ,"equestrian, person on horseback"
ⲡⲁⲣⲁⲅⲓⲛ,"to pass away, to come to an end (referent: world; object: none)"
ⲁⲫⲑⲟⲣⲟⲥ,"uncorrupted, faithful one (substantive)"
ⲛⲏⲥⲧⲉⲓⲁ,"fast, (act of) fasting"
ⲕⲁⲥⲓⲙⲟⲛ,"violet (Cyclamen graecum)"
ⲏⲡⲓⲛⲟⲉⲓ,"to think of/have it in mind to do s.th."
ϩⲓⲙⲉⲣⲟⲥ,"yearning, desire (hypostasis)"
ⲥⲙⲩⲣⲛⲏⲥ,"myrrh"
ⲧⲓⲙⲱⲣⲓⲁ,"punishment, vengeance"
ⲕⲏⲣⲩⲅⲙⲁ,"proclamation"
ⲑⲁⲩⲙⲁⲍⲉ,"to wonder, be astonished (object: none)"
ⲡⲟⲓⲏⲥⲓⲥ,"creation"
ⲛⲟⲙⲓⲍⲟⲛ,"to consider"
ⲕⲁⲙⲁⲧⲱⲛ,"toil, labor"
ⲇⲓⲁⲛⲟⲙⲏ,"tax-allocation"
ⲕⲩⲡⲣⲓⲟⲥ,"Cypriot (inhabitant of Cyprus) (substantive)"
ⲁⲡⲁⲛⲧⲁⲛ,"to meet, encounter s.o."
ⲥⲩⲛⲃⲟⲗⲏ,"shared meal"
ⲥⲧⲣⲁⲧⲟⲛ,"gang, band of officers"
ⲭⲁⲓⲣⲉⲧⲉ,"greetings!"
ⲕⲁⲗⲩⲙⲙⲁ,"veil"
ⲫⲁⲧⲛⲱⲙⲁ,"stucco, wall-plaster"
ⲛⲟⲙⲓⲕⲟⲥ,"lawyer, legal expert"
ⲗⲟⲅⲓⲕⲟⲥ,"reasonable, possessing reason (attributive)"
ϩⲏⲧⲓⲕⲟⲛ,"property, assets"
ⲉⲙⲯⲩⲭⲟⲥ,"ensouled being"
ⲥⲁⲗⲡⲓⲅⲝ,"trumpet"
ⲥⲁⲣⲇⲓⲟⲛ,"Sardion (general or specific sense unclear)"
ⲡⲁⲣⲁⲗⲓⲁ,"seacoast"
ⲉⲡⲉⲭⲏⲣⲓ,"to attempt s.th. (object: verbal noun)"
ϩⲁⲓⲣⲉⲥⲓⲥ,"party, faction (general, or specific sense unclear)"
ⲁⲓⲥⲑⲏⲧⲟⲛ,"sensible, perceptible (specific sense unclear)"
ⲭⲁⲣⲓⲧⲥⲱⲛ,"weighing-machine"
ⲡⲟⲣⲛⲓⲕⲟⲛ,"lewd, vulgar (attributive)"
ⲭⲉⲗⲭⲁⲭⲱϥ,"abscess, tumour"
ⲧⲟⲡⲁⲇⲓⲟⲛ,"topaz (substantive)"
ⲇⲩⲥⲕⲟⲗⲟⲛ,"tricky, difficult, unpleasant one (substantive)"
ⲥⲡⲟⲩⲇⲁⲍⲉ,"to hurry, to be eager (specific sense unclear)"
ⲥⲧⲟⲓⲭⲓⲟⲛ,"element"
ⲉⲝⲱⲇⲓⲕⲟⲥ,"(something) foreign, strange (substantive)"
ⲙⲁⲥⲧⲓⲕⲟⲥ,"whip, scourge"
ⲡⲁⲙⲙⲏⲧⲱⲣ,"womb of everything"
ⲙⲁⲕⲁⲣⲓⲟⲛ,"blessed (specific sense unclear)"
ⲁⲭⲱⲣⲏⲧⲟⲥ,"boundless, uncontainable (substantive)"
ⲁⲛⲧⲓⲗⲉⲅⲉ,"to object (object: none)"
ϩⲉⲗⲗⲏⲛⲟⲥ,"pagan, gentile"
ⲙⲉⲧⲁⲛⲟⲉⲓ,"to repent (object: none)"
ⲥⲩⲅⲅⲉⲛⲏⲥ,"kinsman, relative (substantive)"
ⲉⲡⲓⲑⲩⲙⲓⲁ,"desire, longing"
ⲟⲩϩⲗⲙ[.],"unknown meaning (object belonging to a washer-man or dyer)"
ⲙⲁⲕⲁⲓⲣⲟⲥ,"cook"
ⲫⲟⲩⲛⲟⲟⲩⲉ,"vowels"
ⲕⲁⲧⲁⲝⲓⲟⲩ,"to be deemed worthy"
ϩⲩⲡⲟⲧⲁⲅⲏ,"submission, obedience"
ⲥⲫⲉⲛⲇⲟⲛⲏ,"sling"
ⲟⲫⲑⲁⲗⲙⲓⲁ,"ophthalmia, a disease of the eyes (accompanied by the discharge of humours)"
ⲁⲉⲣⲟⲇⲓⲟⲥ,"aerial, stratospheric; that which gives passage through the stratosphere
ⲇⲓⲁⲑⲉⲥⲓⲥ,"state, condition, disposition, propensity"
ⲥⲧⲣⲁⲧⲉⲓⲁ,"army, host (of humans)"
ⲉⲡⲓⲧⲉⲗⲓⲛ,"to celebrate (a feast or sacrifice)"
ⲁⲭⲓⲗⲗⲓⲟⲛ,"temple of Achilles (in Alexandria)"
ⲥⲑⲣⲟⲩⲑⲟⲥ,"sparrow"
ϩⲩⲡⲁⲣⲝⲓⲥ,"substance, existence (specific sense unclear)"
ⲑⲉⲣⲁⲡⲉⲩⲉ,"to heal, restore (object: none)"
ⲁⲙⲓⲁⲛⲧⲟⲥ,"undefiled, pure one (substantive; referent: divine transcendent character)"
ⲟⲩⲱ(ⲱ)ⲙⲉ,"be loosed, dissolved (by emotion)"
ⲁⲕⲣⲓⲃⲁⲍⲉ,"to investigate s.th. thoroughly, to get the precise knowledge of s.th."
ⲉⲕⲗⲉⲕⲧⲟⲥ,"elect, saved (in the Manichaean Church) (substantive)"
ⲡⲗⲁⲧⲁⲛⲟⲥ,"plane-tree"
ⲫⲁⲣⲙⲁⲅⲓⲁ,"poison, drug"
ⲱⲙⲟⲫⲟⲣⲟⲥ,"Porter (in Manichaean mythology)"
ⲃⲁⲡⲧⲓⲥⲙⲁ,"baptism"
ⲡⲁⲣⲁⲙⲟⲛⲏ,"patience (attributive)"
ⲥⲱⲙⲁⲧⲓⲕⲏ,"corporeal, bodily (attributive)"
ⲁⲛⲁⲥⲧⲉⲙⲁ,"offspring (genealogical)"
ⲉⲝⲉⲧⲁⲥⲓⲥ,"test, examination"
ⲧⲣⲁⲡⲉⲇⲏⲥ,"runaway, runaway slave"
ϩⲉⲃⲣⲁⲓⲟⲥ,"Hebrew one (substantive)"
ⲕⲁⲛⲱⲛⲓⲍⲉ,"to weigh s.th."
ⲁⲧⲣⲉⲡⲧⲟⲥ,"unchangeable, immalleable (attributive)"
ⲁⲣⲙⲉⲛⲓⲟⲩ,"copper carbonate, azurite"
ⲁⲡⲟⲗⲟⲅⲓⲁ,"defense, response (general, or specific sense unclear)"
ⲓⲥⲟⲯⲩⲭⲟⲛ,"of like (mind and) soul"
ⲫⲁⲣⲙⲁⲅⲟⲛ,"drug, poison"
ⲕⲁⲧⲁⲇⲓⲕⲏ,"fine"
ⲥⲧⲉⲫⲁⲛⲟⲩ,"to be crowned with s.th. (a crown) (object: figura etymologica)"
ⲁⲅⲅⲉⲗⲓⲕⲏ,"angelic"
ⲡⲣⲟⲥⲉⲩⲭⲉ,"to pray (object: none)"
ⲙⲉⲧⲟⲩⲥⲓⲁ,"participation, partnership, communion"
ⲁⲕⲉⲣⲁⲓⲟⲥ,"innocent, pure one (substantive)"
ⲗⲁⲗⲟⲩⲕⲓⲛ,"betelnut"
ⲁⲛⲇⲣⲉⲓⲁⲥ,"(Last) Statue (in Manichaean myth)"
ⲥⲧⲉⲛⲱⲥⲓⲥ,"affliction, distress (specific sense unclear)"
ⲇⲓⲙⲟⲓⲣⲓⲁ,"two thirds"
(ⲣⲟⲕⲣⲉⲕ),"become, be putrid or scorched (?)"
ⲧⲟⲕⲝⲟⲧⲟⲥ,"bowman, archer"
ⲙⲟⲛⲑⲩⲗⲟⲥ,"sausage"
ϩⲉⲃⲣⲏⲥⲓⲥ,"act of aggression, barbarism, cruelty violence done to a person"
ⲁⲃⲁϭⲏⲉⲓⲛ,"glass"
ⲉⲡⲓⲃⲟⲗⲟⲥ,"aggressor, enemy"
ⲁⲡⲱⲫⲁⲛⲓⲁ,"revelation (inverted attributive, nominal referent)"
ⲟⲩⲉⲛⲟϥⲣⲉ,"Wen(en-)nefer/Unnefer (epithet of Osiris)"
ⲁⲭⲣⲓⲥⲧⲟⲛ,"useless"
ⲅⲣⲁⲫⲟⲟⲩⲉ,"the Scriptures (i.e., the Old Testament; always plural)"
ⲡⲁⲣⲁⲓⲧⲉⲓ,"refuse, reject, decline (object: unclear)"
ⲉⲙⲫⲁⲛⲓⲍⲉ,"to show s.th., produce s.th. (a document) as evidence"
ⲥⲉⲃⲉⲥⲑⲁⲓ,"to worship s.o."
ⲁⲛ(ⲉ)ⲓⲛⲉ,"bring!"
ⲡⲁⲣⲁⲧⲏⲣⲓ,"to observe, attend to (object: unclear)"
ⲡⲉⲣⲓⲥⲥⲟⲛ,"amniotic fluid (Ger. Fruchtwasser)"
ⲁⲡⲁⲩⲥⲧⲱⲥ,"unceasingly"
ⲓⲉⲣⲁϯⲕⲟⲛ,"old, dignified (attributive)"
ⲡⲁⲣⲟⲩⲥⲓⲁ,"presence"
ⲥⲩⲛⲏⲑⲉⲓⲁ,"custom, habit (specific sense unclear)"
ⲇⲓⲁⲧⲁⲅⲙⲁ,"edict, ordinance"
ⲇⲓⲕⲁⲥⲧⲏⲥ,"judge"
ϩⲉⲛⲇⲉⲕⲁⲥ,"hendecad (group of eleven)"
ⲁⲛⲁⲓⲧⲓⲟⲥ,"one not responsible for, extraneous to s.th. (substantive)"
ⲃⲓⲕⲁⲣⲓⲟⲥ,"vicar, deputy"
(ⲧⲛⲁϩⲥⲟ),"arouse"
ⲑⲉⲟⲫⲟⲃⲟⲥ,"God-fearing"
ⲁⲕⲉⲣⲁⲓⲟⲛ,"innocent one, one without guile (substantive)"
ⲯⲁⲗⲙⲱⲇⲟⲥ,"psalmist, cantor"
ⲡⲣⲟⲫⲁⲥⲓⲥ,"purpose, reason"
ⲕⲁⲑⲉⲇⲣⲟⲥ,"advisor, elder"
ⲧⲟⲗⲙⲏⲣⲓⲁ,"boldness, audacity"
ⲛⲉⲕⲣⲱⲥⲓⲥ,"mortification"
ⲇⲓⲏⲕⲩⲥⲓⲥ,"narration, narrative"
ⲡⲟⲗⲓⲧⲉⲓⲁ,"way of life, conduct (general, or specific sense unclear)"
ⲥⲩⲙⲫⲱⲛⲟⲥ,"person in concord; consort (substantive)"
ⲁⲛⲁⲇⲓⲇⲟⲩ,"to deliver, hand s.th. over to s.o. (object1: physical object)"
ⲕⲉⲡⲉⲗⲉⲟⲥ,"(seed from the) caper-plant"
ⲙⲟⲩⲥⲓⲕⲟⲛ,"music (substantive)"
ⲁⲡⲟⲥⲧⲟⲗⲏ,"exemption from one's duty"
ⲑⲉⲟⲫⲟⲣⲟⲥ,"God-carrying, God-bearing, inspired one (epithet of saints/honorific attribute for
ⲇⲓⲁⲯⲁⲗⲙⲁ,"(musical) interlude (Hebr. ''selah'')"
ⲕⲟⲓⲛⲱⲛⲉⲓ,"to share, partake in (specific sense or usage unclear)"
ⲁⲑⲁⲛⲁⲧⲟⲥ,"immortal one (substantive)"
ⲇⲓⲁⲕⲟⲛⲟⲥ,"assistant, servant, deacon (specific sense unclear)"
ⲥⲧⲣⲁⲧⲉⲩⲉ,"to wage war in s.th."
ⲁϩⲟⲣⲁⲧⲟⲥ,"invisible (morph and/or usage unclear)"
ⲟⲩⲱ(ⲱ)ϣⲉ,"consume (by burning)"
ⲃⲗⲁⲥⲫⲏⲙⲓ,"to blaspheme s.o."
ⲡⲁⲣⲁⲃⲟⲗⲏ,"parable, proverb, maxim"
ⲟⲩⲉⲓⲉⲛⲓⲛ,"Gentile"
ϩⲩⲡⲟⲑⲏⲕⲏ,"(document of) pledge (here: deed of sale-pledge)"
ⲫⲩⲗⲁⲣⲭⲟⲥ,"(tribal) chief"
ⲁⲅⲟⲣⲁⲥⲓⲁ,"transaction"
ⲥⲁⲛⲧⲓⲕⲟⲩ,"minium, red lead"
ⲥⲩⲛⲧⲁⲅⲙⲁ,"composition, work, treatise"
ⲁⲫⲑⲁⲣⲧⲟⲥ,"uncorruptible, immortalone (substantive)"
ⲁⲛϩⲁⲗⲱⲙⲁ,"cost, expenses"
ⲥⲧⲉⲫⲁⲛⲟⲥ,"crown"
ⲧⲟⲡⲟⲡⲓⲟⲥ,"deputy (of an abbot), overseer (of a monastic penitentiary)"
ⲉⲫⲟⲣⲁⲥⲓⲁ,"gaze"
ⲡⲣⲟϩⲓⲥⲧⲁ,"to preside, be headman (object: none)"
ⲉⲗⲉⲩⲑⲉⲣⲁ,"respectable woman (free" of blemish/misdeeds and therefore respectable, irreproachable,
ⲁⲡⲟⲥⲕⲉⲩⲏ,"baggage"
ⲉⲡⲓⲅⲣⲁⲫⲏ,"inscription"
ϩⲩⲡⲓⲥⲭⲟⲩ,"to promise (precise sense or object unclear)"
ⲕⲟⲓⲛⲱⲛⲟⲥ,"partner, associate, companion (substantive)"
ⲙⲁⲑⲏⲙⲁⲧⲁ,"teachings"
ⲙⲁⲣⲧⲩⲣⲓⲁ,"testimony"
ⲁⲛⲁⲅⲕⲁⲍⲉ,"to compel, urge, pressure (specific sense unclear)"
ⲡⲣⲟⲡⲉⲧⲏⲥ,"rash, reckless, thoughtless (attributive)"
ϩⲩⲡⲱⲣⲁⲟⲛ,"(hyporaion)-tree (substantive)"
ⲍⲱⲅⲣⲁⲫⲉⲓ,"to depict, illustrate (i.e. to explain by way of visual images)"
ϩⲓⲥⲁⲩⲣⲟⲥ,"Isaurian one, person of Isauria (substantive)"
ⲉⲡⲓⲧⲣⲟⲡⲏ,"request, demand"
ⲉⲝⲟⲩⲑⲉⲛⲓ,"to despise, disdain s.o."
ⲉⲓⲣⲏⲛⲓⲕⲏ,"peaceful (attributive)"
ⲁⲗⲏⲑⲓⲛⲟⲥ,"True, Truthful (substantive; benevolent celestial hypostasis)"
ⲁⲑⲩⲗⲓⲕⲟⲥ,"immaterial (attributive)"
ⲁⲡⲟⲇⲏⲙⲓⲁ,"being/journeying abroad (attributive)"
ⲇⲏⲛⲁⲣⲓⲟⲛ,"denarius (Roman silver coin)"
ⲙⲁⲑⲏⲧⲣⲓⲁ,"(female) disciple (of Jesus)"
ⲟⲗⲓⲅⲱⲣⲉⲓ,"to think little of, be disappointed about s.th."
ⲧⲣⲓⲅⲉⲛⲏⲥ,"thrice-begotten (substantive)"
ⲁⲡⲣⲁⲕⲧⲟⲥ,"ineffective, idle (substantive)"
ⲧⲟⲙⲁⲣⲓⲟⲛ,"a small vellum-bound book"
ⲡⲣⲟⲉⲥⲧⲱⲥ,"headman (of a monastery)"
ⲁⲥⲱⲙⲁⲧⲟⲥ,"incorporeal (substantive; referent: divine transcendent character)"
ⲉⲅⲅⲣⲁⲫⲱⲥ,"written (of a legal document) (attributive)"
ⲥⲩⲛⲟⲩⲥⲓⲁ,"company, fellowship, cohabitation (general or specific sense unclear)"
ⲕⲉⲗⲉⲩⲥⲓⲥ,"command, order"
ⲥⲕⲉⲡⲁⲍⲓⲛ,"to protect, shelter s.o."
ⲁⲇⲓⲕⲁⲓⲟⲥ,"unrighteous, unjust one (substantive)"
ⲡⲁⲣⲇⲁⲗⲓⲥ,"leopard"
ⲗⲟⲩⲥⲓⲙⲟⲛ,"relief"
ⲁⲛⲑⲉⲱⲛⲟⲥ,"flower-garden, bed of flowers"
ⲥⲩⲛⲧⲉⲗⲉⲓ,"to contribute s.th. to s.o./s.th. (object 2: person/institution receiving
ϩⲉⲃⲇⲟⲙⲁⲥ,"seven"
ⲥⲁⲡⲡⲓⲣⲟⲥ,"sapphire (substantive)"
ⲡⲁⲣⲁⲇⲉⲭⲉ,"to accept, take s.o."
ⲁⲛⲁⲭⲱⲣⲉⲓ,"to withdraw, take refuge (specific sense and object unclear)"
ⲉⲝⲱⲣⲓⲍⲓⲛ,"to exile, banish s.o. to (object2: place)"
ⲃⲟⲩⲗⲏⲥⲓⲥ,"intention, purpose"
ⲕⲁⲛⲇⲁⲕⲏⲥ,"Candace"
ⲡⲟⲗⲉⲙⲓⲟⲥ,"opposed one, enemy (substantive)"
ⲁⲫⲑⲁⲣⲧⲟⲛ,"uncorruptible, immortal (substantive; referent: divine transcendent character)"
ⲇⲓⲁⲧⲟⲭⲟⲥ,"successor"
ⲁⲛⲑⲉⲙⲓⲟⲛ,"small flower"
ⲙⲁⲣⲧⲩⲣⲓⲛ,"to testify, bear witness (general/legal, or specific sense unclear)"
ⲙⲉⲍⲉⲧⲉⲓⲁ,"mediation, arbitration"
ⲉⲡⲓⲉⲓⲕⲏⲥ,"befitting, reasonable (attributive)"
