word,translation,pronunciation
calendar,ημερολόγιο,ime+Rol(o)yo
clock,ρολόϊ,Rol(o)i
case,θήκη,c(i)ki
cheese,τυρί,tiR(i)
chicken,κοτόπουλο,kot(o)pulo
beef,μοσχάρι,mosh(a)Ri
cup,κούπα,k(u)pa
dish/plate,πιάτο,pi(a)to
dictionary,λεξικό,le+ksik(o)
door,πόρτα,p(o)Rta
drum,τύμπανο,t(i)bano
guitar,κιθάρα,kic(a)Ra
electronics,ηλεκτρονικά,ile+ktRonikh(a)
faucet,βρύση,vR(i)si
flute,φλάουτο,fl(a)uto
food,φαγητό,fayit(o)
glass,ποτήρι,pot(i)Ri
house,οικεία,ik(i)a
meat,κρέας,kR(e+)as
milk,γάλα,gh(a)la
plane,επίπεδο,e+p(i)pe+c+o
circle,κύκλος,k(i)klos
triangle,τρίγωνο,tR(i)ghono
square,τετράγωνο,te+tR(a)ghono
rectangle,ορθογώνιο,oRcogh(o)nio
line,γραμμή,ghRam(i)
axis,άξονας,(a)ksonas
curve,καμπύλη,kab(i)li
direction,κατεύθυνση,khat(e+)fcinsi
speed,ταχύτητα,tah(i)tita
source,πηγή,piy(i)
target,στόχος,st(o)hos
cycle,κύκλος,k(i)klos
wave,κύμα,k(i)ma
spiral,σπειροειδής,spiRoic+(i)s
distance,απόσταση,ap(o)stasi
edge,άκρη,(a)kRi
side,πλευρά,ple+vR(a)
