N,𒍦𒊒,x+ipru,"point"
AJ,𒀜𒊒,adru,"dark; huge"
N,𒂇𒉡,aganu,"bowl"
N,𒀝𒇻,akalu,"bread; overseer"
N,𒀝𒁇𒌋,akbaru,"jerboa"
N,𒋄𒇻,alalu,"(a stone)"
N,𒀠𒂁𒌅,alutu,"crab"
AJ,𒄠𒊒,amru,"seen"
N,𒀭𒈭𒋗,andahxu,"(an alliaceous plant)"
N,𒀭𒉈𒄷,anzahu,"(a kind of glass)"
N,𒀊𒁍,apu,"nose"
N,𒀊𒌅,aptu,"window"
N,𒀝𒃮𒌋,ak+abu,"remainder?"
N,𒅈𒃰𒌋,arkatu,"rear"
N,𒍂𒇻,asalu,"(a copper vessel)"
N,𒍂𒊒,asaru,"(a type of literary document)"
N,𒊍𒌋,asu,"myrtle"
N,𒀜𒌋𒌋𒌋,atmanu,"cella"
N,𒀀𒀀𒇻,ayalu,"stag; ally"
N,𒀀𒀀𒊒,ayaru,"flower"
N,𒊍𒁹𒊒,azamru,"fruit"
N,𒀸𒋐𒀠𒇻,axnugalu,"alabaster"
N,𒉼𒀸𒇻,bandilu,"belly"
AJ,𒁇𒈬,barmu,"multicoloured"
AJ,𒈦𒇻,baxlu,"cooked; equal"
N,𒄵𒈬,birmu,"multicoloured cloth"
N,𒄵𒋗,birxu,"felt"
N,𒆹𒉡,buginu,"bucket"
N,𒇧𒂅,bult+u,"life"
N,𒁓𒆪,burku,"knee"
AJ,𒁓𒀸𒌋,burumu,"multicoloured"
N,𒁍𒌍𒉡,bux+inu,"lamp"
N,𒁮𒄣,damk+u,"good"
N,𒁹𒁍,dixpu,"honey"
AJ,𒅁𒁍,ebu,"bright"
N,𒅁𒅔𒉡,epinu,"(seed) plough"
AJ,𒃮𒁍𒁍,gabubu,"grilled"
N,𒃮𒇻,gabudu,"(a food, reading uncertain)"
N,𒃵𒅂𒀜𒌋,gamidatu,"(a garment)"
N,𒃻𒄑𒌅,garix+tu,"loaf (of bread)"
N,𒆤𒇻,gidlu,"plaited string"
N,𒄑𒁓𒊒,gixburu,"'releasing wood'"
N,𒊷𒌋,giximaru,"date palm"
AJ,𒁺𒆷,gubla,"of Byblos"
N,𒄣𒀪,gumʾu,"(part of an ornament)"
N,𒄘𒌦𒁺𒅔𒉡,guqupinu,"(an ornament)"
N,𒄥𒋗,gurxu,"chapel"
N,𒆸𒁓,haburu,"(a kind of wine)"
N,𒄬𒇴,halam,"(a qualification of meat)"
N,𒄬𒇻,halu,"vinegar"
AJ,𒄬𒍮,halx+u,"combed"
N,𒄩𒁹𒄯𒌅,hamurtu,"(a kind of beer)"
N,𒄯𒋗,harxu,"(a foodstuff)"
N,𒄯𒁳𒌋,hart+ibu,"(Egyptian) diviner"
N,𒋻𒌅,haxtu,"(a kind of stone)"
N,𒉺𒂅,hat+u,"stick; sceptre"
N,𒄭𒄘𒌦,hibiltu,"wrongdoing"
N,𒄭𒄭𒉡,hinhinu,"(a kind of spice?)"
N,𒄯𒄯,huruhuru,"(a kind of bread)"
N,𒅁𒂍,ibiitu,"thick (loaf)"
N,𒆉𒅘𒆪,imanaku,"(a kind of stone or sand)"
N,𒅕𒁁𒌋,irx+ix+u,"(a precious item); (meaning uncertain)"
N,𒄑𒁍,izbu,"misbirth"
N,𒁼,ixdu,"foundation"
N,𒅖𒄷,ixhu,"(a piece of military kit); (a type of stone)"
N,𒅖𒌓𒌋,ixparu,"weaver"
N,𒅖𒉻𒌋,ixpatu,"quiver"
AJ,𒆏𒁇𒌋,kabaru,"very thick"
AJ,𒆏𒋢,kabsu,"continuous"
N,𒆕𒆏𒌅,kakabtu,"star"
N,𒆕𒆏𒌋,kakabu,"star"
N,𒌋𒁵𒇻,kakulu,"mash-tub"
N,𒌨,kalbu,"dog"
N,𒆗𒇻,kalu,"(kind of) bowl"
N,𒄰𒈬,kamu,"board"
N,𒃶𒁺,kandu,"jar"
N,𒋼𒀀𒍣𒈨𒌋𒌋𒌋,karbalatu,"(pointed) hat"
N,𒋼𒀀𒋗,karxu,"stomach"
N,𒆠𒃲𒇻,kigalu,"socle"
N,𒁶𒄴𒄷,kimahu,"grave"
N,𒃱𒈦𒊺,kindabaxe,"loincloth"
N,𒄒𒉻𒌋,kipatu,"circle"
N,𒄫𒊒𒌅,kirutu,"(a meal)"
N,𒆤𒌉𒊒,kituru,"(a kind of chair or stool)"
N,𒆧𒊌𒆪,kixuku,"grating?"
N,𒄘,kixaadu,"neck"
N,𒆧𒃮,kix+irtu,"envelope; thickening"
AJ,𒁺𒁍𒋢,kubusu,"downtrodden"
N,𒁺𒌅,kubtu,"lump; (meaning unknown)"
N,𒁺𒋗,kubxu,"headcloth"
N,𒆰𒇻,kulu,"nut(-kernel); (a large ring)"
N,𒆳𒁷𒉡,kurdinu,"(an evil-smelling plant)"
N,𒂁𒉡,kurinu,"(a neck ornament)"
N,𒆳𒄑𒋢,kurisu,"leek"
N,𒆳𒊒,kuru,"unit; tanning fluid"
N,𒆳𒌤,kursiu,"leather strap"
N,𒌓𒄭𒉡𒌅,lahinutu,"(a female official)"
AJ,𒇳,laʾu,"(a qualification of wine)"
N,𒀚𒌅,lipixtu,"male genitalia"
N,𒀖𒆪,litku,"test"
N,𒈜𒉿,lubuxtu,"clothing"
N,𒈝𒈬,lumu,"(a small drinking-vessel)"
N,𒈝𒉡,lumnu,"evil"
N,𒅆𒁺𒍮,mahrax+u,"(battering) ram"
N,𒂷𒋺𒌋,maldadu,"curtain?"
N,𒈥𒋥𒌋,maratu,"(a bird)"
N,𒈥𒋗,marxu,"leather strap"
N,𒈦𒀊𒁍,masabu,"(a basket)"
N,𒈠𒍣𒌋,maziu,"(a metal vessel)"
N,𒈦𒀭𒁺,maxadu,"yoke(-shaft)"
N,𒈦𒉌𒌓𒂗𒌅,maxenatu,"(a female administrator)"
PRP,𒆳𒄿,mat+i,"minus"
N,𒈤𒍮,mehx+u,"blow"
N,𒂇𒂅,mert+u,"scrapings?"
N,𒅂𒊒,midru,"(a type of bread)"
N,𒈩𒊒,mix+ru,"border"
N,𒄷𒄭𒀝𒆠𒌋,mudakiu,"(a metal object)"
N,𒈮𒀠𒅆𒌅,mukalimtu,"scholarly commentary"
N,𒈮𒅈𒊕𒌋,mukarisu,"(a metal vessel for liquids)"
N,𒀯𒀊𒂍𒌋,mulapitu,"(an implement)"
N,𒅘𒁀𒋢,nakbasu,"step"
N,𒅘𒄰𒌅,nakamtu,"treasure"
AJ,𒀮𒄷,naphu,"blown on"
N,𒀮𒆗𒌋,naptanu,"meal(-time)"
V,𒀮𒋀𒌅,napxaxtu,"ointment"
N,𒈜𒋼𒇲𒌅,nargalatu,"female chief musician"
N,𒈜𒃲𒇻,nargalu,"chief musician"
N,𒊩𒌨𒅘𒆪,nignaku,"censer"
N,𒊩𒌨𒅁𒌅,nikiptu,"spurge"
N,𒊩𒌨𒆜𒋢,nikasu,"account(s)"
N,𒍑𒌅,nitu,"(a precious item, reading uncertain)"
N,𒈜𒄯𒌅,pahurtu,"collection"
N,𒁄𒇺𒋢,palisu,"female stone borer"
AJ,𒁄𒋗,palxu,"pierced"
N,𒉽𒌓𒊑𒅀,papardaliu,"agate?; agate"
N,𒌓𒆰𒇻,parkulu,"seal-cutter"
N,𒀳𒉡,pinu,"button"
AJ,𒋗𒉡,k+atnu,"thin"
N,𒄫𒈬,k+ermu,"(a garment)"
AJ,𒄥𒆗𒌋,k+urubu,"brought close"
N,𒋥𒅎𒌋,radidu,"(a garment)"
AJ,𒊐𒄣,rapk+u,"hoed"
N,𒈩𒌅,ritu,"hand"
AJ,𒊿𒋢𒌋,rukusu,"well fitted together"
N,𒊿𒄣,ruk+u,"cauldron"
N,𒉺𒅁𒁍𒁍,sabubu,"(a precious object)"
N,𒆤𒄯𒌋,saharu,"(an offering bowl)"
AJ,𒊕𒊒,sakru,"refined; drunk"
N,𒊩𒇻,salu,"tray"
N,𒊕𒈮𒌋,sanbuku,"bunch"
N,𒊕𒄃𒄷𒄭,saqilmud,"(a bluish stone)"
N,𒉺𒅁𒇺𒄷,saplixhu,"(a meat preparation)"
N,𒉺𒅁𒌌𒄷,sapulhu,"(a container)"
AJ,𒊬𒄷,sarhu,"(a qualification of wine); ecstatic"
N,𒆠𒆗𒋢,sasu,"base"
N,𒋤𒁺,serdu,"olive tree"
N,𒋻𒄴,siluh,"(a textile, reading uncertain)"
N,𒌍𒆪,sinku,"discarded wool"
N,𒋀𒀠𒄷,sisalhu,"(a qualification of sheep and oxen)"
N,𒆹𒆪,suku,"shrine"
N,𒋻𒃶𒉡,sulukanu,"(a food-container)"
N,𒋧𒈬,sumu,"(male) dove"
N,𒈽𒋢,susu,"(a vessel)"
N,𒈽𒂄𒇻,susulu,"chest"
N,𒋳𒆜𒋢,takasu,"(small) block of stone"
N,𒋳𒋢𒋢,takusu,"reed-stem"
N,𒋳𒁍,takpu,"(a carrying basket)"
AJ,𒊑𒈜,talulu,"equipped"
N,𒋰𒄷,taphu,"(a metal cauldron)"
N,𒋻𒁀𒍮,tarbax+u,"courtyard"
N,𒋻𒈠𒉣𒌋,tarmazilu,"(an edible bird)"
N,𒌆𒉡,taskarinu,"box tree"
N,𒄘𒆪,tiku,"neck"
N,𒌁𒅎𒌅,tirimtu,"(a drinking vessel)"
N,𒌅𒀉𒌅,tuditu,"(a dress-pin) on woman’s breast"
N,𒌒𒉡,upnu,"(cupped) hand"
N,𒌨𒆳𒌋,urnatu,"(a garment)"
N,𒊻𒌨𒌅,ux+urtu,"drawing"
N,𒁁𒀊𒌅,zazabtu,"(a textile)"
N,𒍦𒌍,zibatu,"tail"
N,𒍣𒁹𒍣𒁹𒈬,zimzimu,"(a red onion)"
N,𒍨𒄣,zik+u,"wineskin"
AJ,𒍪𒀪𒀪𒍪,zuʾʾuzu,"divided"
AJ,𒉺𒅁𒆜𒌋,xabuxu,"collected"
N,𒊕𒅔𒌅,xakintu,"(a female official)"
N,𒊕𒆰𒇻,xakulu,"(a wood used for furniture?)"
