word,translation,pronunciation
rain,बारिश,baris+h
road,सड़क,sar+r+akh
rock,चट्टान,txat+t+an
rodent/mouse/rat,चूहा,txuha
sand,रेत,ret
bark,भौंकना,bhaunkna
hug,गले लगाना,gale lagana
kiss,चुम्मा,txumma
bag,थैला,thaila
ball,गेंद,gaindh
boat,नाव,naav
book,पुस्तक,pustak
bottle,शीशी,s+his+hi
bowl,कटोरा,katora
box,डिब्बा,d+ibba
bread,रोटी,rot+i
bucket,बाल्टी,balt+i
camera,कैमरा,camra
calendar,जंत्री,jantri
clock,घड़ी,ghar+r+i
case,मामला,mamla
cheese,पनीर,panir
chicken,मुर्गी,murgi
beef,गोमांस,gomans
cup,प्याला,piyala
dish/plate,थाली,thali
dictionary,शब्दकोश,s+hab'dhkosh
door,दरवाजा,darwaza
drum,ढोल,d+hool
guitar,गिटार,gitar
electronics,इलेक्ट्रानिक्स,ilect+ronics
faucet,नल,nal
flute,बांसुरी,bansuri
food,खाना,khana
glass,कांच,kantxh
house,घर,ghar
meat,मांस,mans
milk,दूध,dudh
plane,सतह,satah
circle,दायरा,daira
triangle,त्रिकोण,trikon
square,चौकोर,txaukor
rectangle,आयत,aayat
line,रेखा,reekha
axis,धुरी,dhuri
curve,मोड़,mor+r+'
direction,दिशा,dis+ha
speed,गति,gati
source,स्रोत,sroth
target,लक्ष्य,laks+hy'
cycle,चक्र,txakr'
wave,लहर,lhr
spiral,घुमावदार,ghumaudar
distance,दूरी,duri
edge,किनारा,kinara
side,कोना,kona
surface,सतह,satah
height,ऊंचाई,uuntxai
width,चौड़ाई,txaur+r+ai
neighborhood,पड़ोसी,par+r+ausi
parallel,समानांतर,smanantr
perpendicular,लम्बवत,lmbavt
position,पद,pdh
range,पहुंच,pahuntx
ratio/proportion,अनुपात,anupat
ring,अंगूठी,ang'gut+hi
shape,आकार,aakaar
ability,योग्यता,yog'yta
adjustment,ढालना,d+halna
now,अभी,abhi
alternative,एकान्तर,aikantra'
amount,रकम,raqm
answer,उत्तर,uttar
approximate,अनुमानित,anumanit
previous,पिछला,pitxhla
next,अगला,agla
aspect,पहलू,pehlu
assumption,कल्पना,klpana
attention,ध्यान,dheyan
awareness,जागरूकता,jagruukta
base,आधार,aadhar
behavior,बुनियाद,bunyad
belief,विश्वास,vis+hwas
benefit,फायदा,faida
bit,टुकड़ा,tukr+r+a
block,बाधा,badha
break,अंतराल,antral
bring,लाना,lana
burner,ज्वालक,jawalak
burnt,जला हुआ,jala huwa
capacity,क्षमता,s+hamata
category,वर्ग,varg
cement,सीमेंट,ciment+
censored,सेंसर करना,sensar krna
change,परिवर्तन,parivrtan
character,चरित्र,charitr'
choice,चुनाव,txunaw
cold,ठंड,t+hand+
concept,कल्पना,klpana
condition,स्थिति,isthiti
congratulations,बधाई,badhai
connection,संपर्क,sanpa'rk
container,पात्र,pat'r
cover,ढक्कन,d+hakkn
cozy,आरामदायक,aaramdayak
crack,दरार,darar
crown,ताज,taj
decision,फेसला,faisla
decoration,सजावट,sajawat
density,घनत्व,ghantv
depth,गहराई,gehrai
doubt,शक,shak
certainty,यक़ीन,yak+een
drain,नाली,nali
dream,सपना,sapna
drink,पीना,pina
drip,टपकना,tapkna
drive,गाड़ी चलाना,gar+r+i txalana
drop,गिरना,girna
effect,प्रभाव,prabhaw
energy,ऊर्जा,uurja
environment,वातावरण,vatawaran
estimate,अनुमान,anumaan
feature,लक्षण,laks+han'
floor,फर्श,fars+h
force,शक्ति,s+hakti
friend,मित्र,mitra'
front,सामने,samne
fun,मनोरंजन,manoranjan
future,भविष्य,bhavishay'
game,खेल,khel
gap,फ़ासला,fasla
gesture,इशारा,is+hara
goal,लक्ष्य,laks+hay'
grammar,व्याकरण,wyakarn
ground,जमीन,jameen
group,टोली,toli
guide,राह दिखाना,rah dikhana
habit,आदत,aadat
heat,गर्मी,grmi
hint,इशारा,is+hara
home,घर,ghar
hope,आशा,aas+ha
hour,घंटा,ghant+a
human,इंसान,insan
ideal,आदर्श,aadars+h
imagination,कल्पना,klpana
information,जानकारी,jankari
intensity,जोर,zoor
intention,इरादा,irada
interest,रुचि,rutxi
joke,मज़ाक,majaak
juice,रस,ras
knowledge,ज्ञान,giyaan
language,भाषा,bhas+ha
letter,पत्र,pt'r
life,जिंदगी,jindagi
light,रोशनी,rous+ni
limit,सीमा,seema
list,सूची,sutxi
love,प्रेम,preem
marriage,शादी,s+hadi
mass,वजन,wazn
material,चीज़,txiiz
memory,याद,yaad
memory,यादगार,yadgaar
mind,मन,mn
minute,मिनट,mina't
model,नमूना,namuna
money,पैसे,paese
monk,साधु,sadhu
month,महीना,mahina
moon,चांद,txand
motivation,प्रेरणा,prerna
mud,कीचड़,kitxar+r+
narrow,तंग,tang
nature,प्रकृति,prakrati
necessity,ज़रूरत,jarurat
need,ज़रूरत,jarurat
nest,घोंसला,ghonsla
neurotransmitter,न्यूरोट्रांसमीटर,niyorotransmit+r
night,रात,rat
northern,उत्तरी,uttari
southern,दक्षिणी,daks+hini
eastern,पूर्वी,purvi
western,पश्चिमी,pas+htximi
number,अंक,ankh'
overcome,काबू पाना,k+abu pana
part/piece,टुकड़ा,tukr+r+a
particle,कण,kn'
past,अतीत,atit
path,रास्ता,rasta
pause,रुकना,rukna
pebble,कंकड़,kankar+r+
pile/stack,ढेर,d+heer
place,जगह,jagah
potential,क्षमता,s+hamata
power,शक्ति,s+hakti
practice,अभ्यास,abhyas
present,वर्तमान,vartaman
probability,संभावना,sambhavna
process,प्रक्रिया,prakriya
program,कार्यक्रम,karyakarm
pronunciation,उच्चारण,utxtxarn
question,सवाल,sawal
quiet,ख़ामोशी,h+amos+hi
reason,कारण,karan
logic,तर्क,tark
reduce,कम करना,km krna
reflection,परावर्तन,pravrtn
room,कमरा,kmra
second,दूसरा,dusra
shade,छाया,txhaya
step,कदम,kadm
still,स्थिर,i+'sthir
story,कहानी,kahani
sword,तलवार,talwar
system,प्रणाली,pranali
talk,बातचीत,battxit
thing,वस्तु,vstu
traffic,यातायात,yatayat
noise,शोर,s+hor
cricket,क्रिकेट,kriket
value,मूल्य,mulye'
voice,आवाज़,aavaj
wall,दीवार,diwar
will,करूं गा,karun ga
win,जीत,jiit
faith,विश्वास,vis+hwas
courage,हिम्मत,himmat
humility,दीनता,diinta
compassion,दया,daya
wonder,आश्चर्य,aas+htxarye'
wood,लकड़ी,lakr+r+i
wool,ऊन,uun
word,शब्द,s+habd
worth,क़ीमत,k+imat
year,साल,sal
rhythm,ताल,tal
beat,ताल,tal
adventure,साहसिक,sahsik
context,संदर्भ,sndarbhv'
cave,गुफा,ghufa
universe,ब्रम्हांड,brahmand+
mushroom,कुकुरमुत्ता,kukurmutta
god,भगवान,bhgwan
creation,सृष्टि,sris+ht+i
matter,पदार्थ,padarth
chaos,बिगाड़,bigar+r+
Monday,सोमवार,somwar
Tuesday,मंगलवार,mangalwar
Wednesday,बुधवार,budhwar
Thursday,गुरूवार,guruwar
Friday,शुक्रवार,s+hukurwar
Saturday,शनिवार,s+haniwar
Sunday,रविवार,raviwar
January,जनवरी,jnwari
February,फरवरी,frwari
March,मार्च,martxh
