word,translation,pronunciation
produce,உற்பத்தி செய்,utrp(u+)cixei
consume,நுகரு,n(u)ku+ru
throw,வீசு,veex(u)
mirror,விம்பம்,v(i)mbu+m
snore,குறட்டை,k(u)r+u+t+u+i
boyfriend,சினேகிதன்,xine+kid(u+)n
girlfriend,தோழி,cuL(i)
husband,கணவன்,k(u+)n+u+u+vu+n
wife,மனைவி,m(u+)nu+ivi
mom,அம்மா,(u+)m+aa
dad,அப்பா,(u+)paa
mother,தாய்,caay(i)
father,தந்தை,c(u+)ndu+i
aunt,அத்தை,u+c(u+)yi
author,நூலாசிரியர்,nulaax(i)riyar
baby,குழந்தை,k(u)Lu+ndu+i
adult,வயது வந்தவர்,v(u+)yu+duvu+ndu+vu+r
brother,சகோதரன்,xu+kud(u+)ru+n
parent,பெற்றோர்,per+tur
child,குழந்தை,k(u)Lu+ndu+i
cousin,மச்சான்,m(u+)txaan
niece,மருமகள்,m(u+)rumu+ku+l
nephew,மருமகன்,m(u+)rumaku+n
elder,மூத்தவர்,muc(u+)vu+r
male,ஆண்,(u+)aan
female,பெண்,pa+n
man,மனிதன்,m(u+)nidu+n
woman,மகளிர்,m(u+)ku+lir
air,காற்று,kaar+tr(u)
animal,விலங்கு,v(i)lu+nku
ant,எறும்பு,a+rumb(u)
arm,கை,k(u+)i
aromatics,நறுமணப் பொருட்கள்,n(u+)r+umu+nu+p porutku+l
ash,சாம்பல்,xaamb(u+)l
asteroid/comet,உடுக்கோள்,ud(u)k+ul
atom,அணு,u+n+(u)
beach,கடற்கரை,k(u+)durtku+rui
beak,பறவையலகு,p(u+)r+u+vu+iyu+Lu+ku
bear,கரடி,k(u+)ru+di
beard,தாடி,d(u+)aadi
beast,மிருகம்,m(i)ruku+m
bee,தேனீ,ca+a+n(i)
belly,வயிறு,v(u+)ir+u
wind,காற்று,kaar+tr(u)
wing,சிறகு,x(i)r+uku
womb,கருப்பை,k(u+)rupu+i
berry,பழம்,p(u+)Lum
bird,பறவை,p(u+)r+u+vu+i
squirrel,அணில்,u+n+(i)l
snail,நத்தை,n(u+)cu+i
mind,உள்ளம்,uL(u+)m
soul,ஆன்மா,aanmaa
body,உடல்,ud(u+)l
gut,குடல்,k(u)du+l
brain,மூளை,mul(u+)i
bone,எலும்பு,el(u)mbu
blood,இரத்தம்,er(u+)cum
bug,வண்டு,v(u+)n+du
worm,புழு,p(u)Lu
butterfly,பட்டாம்பூச்சி,p(u+)t+aampootxi
wolf,ஓநாய்,unaa(i)
breeze,தென்றல்,cenr+(u+)l
cat,பூனை,pun(u+)i
cell,உயிரணு,uir(u+)n+u
chemical,இரசாயன,er(u+)xaayu+nu+
cliff,செங்குத்தான பாறை,xenkucaan(u+) paaru+i
cloud,மேகம்,me+k(u+)m
coyote,ஓநாய் வகை,unaa(i) vu+ku+i
crow,காகம்,kaak(u+)m
deer/elk/moose,மான்,maan
desert,பாலைவனம்,paal(u+)ivu+nu+m
dirt,அழுக்கு,u+l(u)k+u
